structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh_base,total_gwp_kgco2_base,intensity_gco2_per_kwh_min,total_gwp_kgco2_min,intensity_gco2_per_kwh_max,total_gwp_kgco2_max,intensity_range,intensity_range_pct_of_base,gwp_range
fawt,2.0,rrcfrp,20.87751987512794,3657741.482122415,22.579553783789652,3461445.595054954,17.670270068517617,3869789.145005358,-4.909283715272036,-23.514688261035367,408343.5499504041
fawt,5.0,gfrp,17.58213991724912,7700977.283755114,19.313763996434723,7402000.051633608,14.538261450793112,7959698.14430923,-4.775502545641611,-27.161099662030107,557698.0926756226
fawt,5.0,cfrp,17.369137032071553,7607682.02004734,18.8292958711597,7216327.642621956,14.655710725622376,8024001.622278252,-4.173585145537325,-24.028742117878018,807673.9796562959
fawt,5.0,rcfrp,16.6376442112236,7287288.164515937,17.92261496380573,6868842.184878547,14.10194395837595,7720814.317210833,-3.820671005429782,-22.964014357587917,851972.1323322859
fawt,5.0,rrcfrp,17.024433181877942,7456701.733662538,18.23758224496776,6989553.395383893,14.537347802969489,7959197.922125794,-3.7002344419982727,-21.734846631705036,969644.5267419014
fawt,10.0,gfrp,16.00009681146726,14016084.80684532,17.53910302004261,13443722.46486266,13.24982254368602,14508555.685336191,-4.2892804763565895,-26.807840770578746,1064833.2204735316
fawt,10.0,cfrp,15.801098398836626,13841762.197380884,17.074844732196848,13087868.487228883,13.36604034804489,14635814.181109156,-3.708804384151957,-23.47181373432256,1547945.693880273
fawt,10.0,rcfrp,15.110372378447549,13236686.203520052,16.22398314435948,12435683.08015154,12.841889515877911,14061869.019886311,-3.3820936284815684,-22.382596164907003,1626185.9397347718
fawt,10.0,rrcfrp,15.475661067320235,13556679.094972529,16.52440011627417,12665952.68912415,13.25240178054404,14511379.949695723,-3.271998335730128,-21.14286634668917,1845427.260571573
fawt,15.0,gfrp,15.328914070838216,20142193.089081418,16.78652839914803,19300311.02692045,12.702951573299996,20864597.959145244,-4.0835768258480325,-26.63970067923235,1564286.9322247952
fawt,15.0,cfrp,15.123019744252929,19871647.943948343,16.331251192015046,18776856.0580193,12.804400900898058,21031228.47972506,-3.526850291116988,-23.321071788306476,2254372.42170576
fawt,15.0,rcfrp,14.455438201360996,18994445.79658835,15.502898047052248,17824457.02959832,12.299274673058708,20201558.650498927,-3.2036233739935405,-22.16206336582668,2377101.620900605
fawt,15.0,rrcfrp,14.813062783789189,19464364.497898996,15.794087370749567,18159251.954519317,12.70155562880311,20862305.120309107,-3.0925317419464573,-20.877058222765367,2703053.1657897905
