scenario,effective_cf,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh,rank
cf_equalized_035,0.35,onshore,10.0,cfrp,12.180768760481167,1.0
cf_equalized_035,0.35,onshore,10.0,rcfrp,10.636705195370974,1.0
cf_equalized_035,0.35,onshore,10.0,rrcfrp,10.620724064735972,1.0
cf_equalized_035,0.35,onshore,15.0,gfrp,10.08985160258721,1.0
cf_equalized_035,0.35,onshore,15.0,cfrp,11.473760965634838,1.0
cf_equalized_035,0.35,onshore,15.0,rcfrp,9.97977151194838,1.0
cf_equalized_035,0.35,onshore,15.0,rrcfrp,9.966149842039863,1.0
cf_equalized_035,0.35,bottom_fixed,2.0,gfrp,20.800959940138608,2.0
cf_equalized_035,0.35,bottom_fixed,2.0,cfrp,22.40282472127624,2.0
cf_equalized_035,0.35,bottom_fixed,2.0,rcfrp,20.884759075145034,2.0
cf_equalized_035,0.35,bottom_fixed,2.0,rrcfrp,20.954164147395772,2.0
cf_equalized_035,0.35,bottom_fixed,5.0,gfrp,16.15386203011055,2.0
cf_equalized_035,0.35,bottom_fixed,5.0,cfrp,17.621492060546657,2.0
cf_equalized_035,0.35,bottom_fixed,5.0,rcfrp,16.215102636173913,2.0
cf_equalized_035,0.35,bottom_fixed,5.0,rrcfrp,16.286606515112265,2.0
cf_equalized_035,0.35,bottom_fixed,10.0,gfrp,14.358167268181209,2.0
cf_equalized_035,0.35,bottom_fixed,10.0,cfrp,15.730693166360146,2.0
cf_equalized_035,0.35,bottom_fixed,10.0,rcfrp,14.403487846049812,2.0
cf_equalized_035,0.35,bottom_fixed,10.0,rrcfrp,14.476446875716405,2.0
cf_equalized_035,0.35,bottom_fixed,15.0,gfrp,13.653648766694676,2.0
cf_equalized_035,0.35,bottom_fixed,15.0,cfrp,14.972978229925468,2.0
cf_equalized_035,0.35,bottom_fixed,15.0,rcfrp,13.69008922816204,2.0
cf_equalized_035,0.35,bottom_fixed,15.0,rrcfrp,13.763849591184783,2.0
cf_equalized_035,0.35,semisubmersible,2.0,gfrp,28.6228653324232,5.0
cf_equalized_035,0.35,semisubmersible,2.0,cfrp,29.98484202292169,5.0
cf_equalized_035,0.35,semisubmersible,2.0,rcfrp,28.84339340077358,5.0
cf_equalized_035,0.35,semisubmersible,2.0,rrcfrp,29.236472467929456,5.0
cf_equalized_035,0.35,semisubmersible,5.0,gfrp,23.809488112343637,5.0
cf_equalized_035,0.35,semisubmersible,5.0,cfrp,25.05348420001632,5.0
cf_equalized_035,0.35,semisubmersible,5.0,rcfrp,23.999952575901755,5.0
cf_equalized_035,0.35,semisubmersible,5.0,rrcfrp,24.37610574634853,5.0
cf_equalized_035,0.35,semisubmersible,10.0,gfrp,21.916706732229567,5.0
cf_equalized_035,0.35,semisubmersible,10.0,cfrp,23.056230808110644,5.0
cf_equalized_035,0.35,semisubmersible,10.0,rcfrp,22.071985137502615,5.0
cf_equalized_035,0.35,semisubmersible,10.0,rrcfrp,22.446531688423043,5.0
cf_equalized_035,0.35,semisubmersible,15.0,gfrp,21.183379388754588,5.0
cf_equalized_035,0.35,semisubmersible,15.0,cfrp,22.264459842287646,5.0
cf_equalized_035,0.35,semisubmersible,15.0,rcfrp,21.3189860094122,5.0
cf_equalized_035,0.35,semisubmersible,15.0,rrcfrp,21.692615096356036,5.0
cf_equalized_035,0.35,spar,2.0,gfrp,27.492443103899433,4.0
cf_equalized_035,0.35,spar,2.0,cfrp,29.200680337863798,4.0
cf_equalized_035,0.35,spar,2.0,rcfrp,28.066874815067372,4.0
cf_equalized_035,0.35,spar,2.0,rrcfrp,28.417610582299734,4.0
cf_equalized_035,0.35,spar,5.0,gfrp,22.55257214774386,4.0
cf_equalized_035,0.35,spar,5.0,cfrp,24.108158650167468,4.0
cf_equalized_035,0.35,spar,5.0,rcfrp,23.068452631512557,4.0
cf_equalized_035,0.35,spar,5.0,rrcfrp,23.412347829712107,4.0
cf_equalized_035,0.35,spar,10.0,gfrp,20.64805769469813,4.0
cf_equalized_035,0.35,spar,10.0,cfrp,22.09279836291806,4.0
cf_equalized_035,0.35,spar,10.0,rcfrp,21.120960087547168,4.0
cf_equalized_035,0.35,spar,10.0,rrcfrp,21.46145505309292,4.0
cf_equalized_035,0.35,spar,15.0,gfrp,19.908162474979033,4.0
cf_equalized_035,0.35,spar,15.0,cfrp,21.290887644685494,4.0
cf_equalized_035,0.35,spar,15.0,rcfrp,20.3570253250348,4.0
cf_equalized_035,0.35,spar,15.0,rrcfrp,20.695598821178635,4.0
cf_equalized_035,0.35,fawt,2.0,gfrp,24.520171238154305,3.0
cf_equalized_035,0.35,fawt,2.0,cfrp,24.31306765338021,3.0
cf_equalized_035,0.35,fawt,2.0,rcfrp,23.40149609610372,3.0
cf_equalized_035,0.35,fawt,2.0,rrcfrp,23.860022714431935,3.0
cf_equalized_035,0.35,fawt,5.0,gfrp,20.093874191141854,3.0
cf_equalized_035,0.35,fawt,5.0,cfrp,19.850442322367492,3.0
cf_equalized_035,0.35,fawt,5.0,rcfrp,19.014450527112686,3.0
cf_equalized_035,0.35,fawt,5.0,rrcfrp,19.456495065003363,3.0
cf_equalized_035,0.35,fawt,10.0,gfrp,18.285824927391154,3.0
cf_equalized_035,0.35,fawt,10.0,cfrp,18.058398170099004,3.0
cf_equalized_035,0.35,fawt,10.0,rcfrp,17.268997003940058,3.0
