structure_type,rated_power_mw,material_model,median_20yr,median_25yr,median_30yr,delta_20yr_pct,delta_30yr_pct
spar,5.0,gfrp,25.50107066180025,20.434904322756744,17.057460096727734,24.791730164362523,-16.527820109575046
spar,5.0,rcfrp,26.108466097030245,20.920069346966024,17.460980299867426,24.801049480348304,-16.534787670769642
spar,5.0,rrcfrp,26.49513753005722,21.230203653731596,17.720457599695308,24.79926223128913,-16.531852973626027
spar,10.0,cfrp,24.998733617043506,20.031918319238756,16.720708120702255,24.794506540267765,-16.52967102684518
spar,10.0,gfrp,23.312805868096326,18.682868648047837,15.597274514135425,24.78172547946629,-16.51563361087391
spar,10.0,rcfrp,23.867089953802935,19.126033354726935,15.965328955342938,24.788499063786603,-16.525666042524385
spar,10.0,rrcfrp,24.25085066131058,19.434937914476954,16.223762706425198,24.779666228037105,-16.522693420387895
spar,15.0,cfrp,24.073818856544417,19.29112406293853,16.102660867201273,24.79220380316896,-16.52813586877929
spar,15.0,gfrp,22.48384300031002,18.019739769591695,15.043670949112808,24.773405652902373,-16.515603768601594
spar,15.0,rcfrp,22.986186711001952,18.422815771926253,15.381043637793582,24.770214258070293,-16.51089698659365
spar,15.0,rrcfrp,23.366901210217165,18.727535851513316,15.63462561237742,24.77296209970387,-16.515308066469238
