scenario_id,distribution_shape,windcrete_reinforcement_upper_fraction,capacity_factor_copula_rho,tie_threshold,comparison_group,case_a,case_b,estimand,sample_fraction_a_lower,replicate_sd_sample_fraction_a_lower,replicate_min_sample_fraction_a_lower,replicate_max_sample_fraction_a_lower,sample_fraction_b_lower,replicate_sd_sample_fraction_b_lower,replicate_min_sample_fraction_b_lower,replicate_max_sample_fraction_b_lower,sample_fraction_tie,replicate_sd_sample_fraction_tie,replicate_min_sample_fraction_tie,replicate_max_sample_fraction_tie,n_replicates,n_samples_per_replicate,n_samples_total,replicate_seeds,interpretation,no_central_claim
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,equal_yield_gco2_per_kwh,0.9999833333333333,2.3570226039548993e-05,0.99995,1.0,0.0,0.0,0.0,0.0,1.6666666666666667e-05,2.3570226039551588e-05,0.0,5e-05,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,deployment_gco2_per_kwh,0.9994666666666667,0.00025927248643509116,0.9991,0.99965,0.00038333333333333334,0.0001545603082582617,0.00025,0.0006,0.00015,0.00010801234497346433,5e-05,0.0003,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,monopile_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,monopile_15mw,tlp_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,monopile_15mw,tlp_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,monopile_15mw,volturnus_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,monopile_15mw,volturnus_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,monopile_15mw,volturnus_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,tlp_15mw,volturnus_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,tlp_15mw,volturnus_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.005,ab_reported_material_pair,tlp_15mw,volturnus_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,equal_yield_gco2_per_kwh,0.9966666666666667,0.0004089281382128495,0.9961,0.99705,0.0012833333333333334,0.00029533408577782247,0.00105,0.0017,0.00205,0.00012247448713915895,0.0019,0.0022,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,deployment_gco2_per_kwh,0.9781666666666666,0.0004696334267868399,0.9776,0.97875,0.013466666666666667,0.00038801489089409434,0.013,0.01395,0.008366666666666666,0.00043269183285823916,0.0078,0.00885,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,core_equal_yield_gco2_per_kwh,0.11586666666666667,0.001478926036765267,0.1143,0.11785,0.8606333333333334,0.0016146895126377184,0.8586,0.86255,0.023500000000000004,0.00026770630673681736,0.02315,0.0238,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,equal_yield_gco2_per_kwh,0.9999833333333333,2.3570226039548993e-05,0.99995,1.0,0.0,0.0,0.0,0.0,1.6666666666666667e-05,2.3570226039551588e-05,0.0,5e-05,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,deployment_gco2_per_kwh,0.9993500000000001,0.00017795130420053345,0.9991,0.9995,0.0003666666666666666,0.00016996731711975947,0.0002,0.0006,0.0002833333333333333,2.357022603955157e-05,0.00025,0.0003,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,ab_reported_material_pair,monopile_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,ab_reported_material_pair,monopile_15mw,tlp_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,ab_reported_material_pair,monopile_15mw,tlp_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.6,triangular,0.05,0.6,0.01,ab_reported_material_pair,monopile_15mw,volturnus_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
